,id,calling_class,calling_method,called_class,called_method,called_method_args
0,65893075262332,org.apache.commons.cli.GnuParseTest,testMultipleWithLong,org.apache.commons.cli.Parser,parse,"<SP>Options:Options@1ac12253<NP>String[]:[--copt, foobar, --bfile, toast]<NP>Boolean:true<EP>"
1,65893075302928,org.apache.commons.cli.Parser,parse,org.apache.commons.cli.Parser,parse,"<SP>Options:Options@1ac12253<NP>String[]:[--copt, foobar, --bfile, toast]<NP>object:null<NP>Boolean:true<EP>"
2,65893075320091,org.apache.commons.cli.Parser,parse,org.apache.commons.cli.Options,helpOptions,<SP><EP>
3,65893075332281,org.apache.commons.cli.Options,helpOptions,java.util.Map,values,<SP><EP>
4,65893075368635,org.apache.commons.cli.Options,helpOptions,java.util.Map,values,<SP><EP>
5,65893075396332,org.apache.commons.cli.Options,helpOptions,java.util.Collection,iterator,<SP><EP>
6,65893075419120,org.apache.commons.cli.Options,helpOptions,java.util.Iterator,hasNext,<SP><EP>
7,65893075434225,org.apache.commons.cli.Options,helpOptions,java.util.Iterator,next,<SP><EP>
8,65893075450615,org.apache.commons.cli.Options,helpOptions,java.util.List,contains,<SP>Option:Option@6984476d<EP>
9,65893075468239,org.apache.commons.cli.Options,helpOptions,java.util.Iterator,hasNext,<SP><EP>
10,65893075481980,org.apache.commons.cli.Options,helpOptions,java.util.Iterator,next,<SP><EP>
11,65893075498293,org.apache.commons.cli.Options,helpOptions,java.util.List,contains,<SP>Option:Option@469c42d6<EP>
12,65893075511193,org.apache.commons.cli.Option,equals,java.lang.Object,getClass,<SP><EP>
13,65893075531335,org.apache.commons.cli.Option,equals,java.lang.Object,getClass,<SP><EP>
14,65893075553576,org.apache.commons.cli.Option,equals,java.lang.String,equals,<SP>String:a<EP>
15,65893075577507,org.apache.commons.cli.Options,helpOptions,java.util.Iterator,hasNext,<SP><EP>
16,65893075591577,org.apache.commons.cli.Options,helpOptions,java.util.Iterator,next,<SP><EP>
17,65893075605796,org.apache.commons.cli.Options,helpOptions,java.util.List,contains,<SP>Option:Option@510d09e2<EP>
18,65893075614647,org.apache.commons.cli.Option,equals,java.lang.Object,getClass,<SP><EP>
19,65893075627023,org.apache.commons.cli.Option,equals,java.lang.Object,getClass,<SP><EP>
20,65893075640407,org.apache.commons.cli.Option,equals,java.lang.String,equals,<SP>String:a<EP>
21,65893075652636,org.apache.commons.cli.Option,equals,java.lang.Object,getClass,<SP><EP>
22,65893075664777,org.apache.commons.cli.Option,equals,java.lang.Object,getClass,<SP><EP>
23,65893075677341,org.apache.commons.cli.Option,equals,java.lang.String,equals,<SP>String:b<EP>
24,65893075697007,org.apache.commons.cli.Options,helpOptions,java.util.Iterator,hasNext,<SP><EP>
25,65893075716489,org.apache.commons.cli.Parser,parse,java.util.List,iterator,<SP><EP>
26,65893075734205,org.apache.commons.cli.Parser,parse,java.util.Iterator,hasNext,<SP><EP>
27,65893075748246,org.apache.commons.cli.Parser,parse,java.util.Iterator,next,<SP><EP>
28,65893075762958,org.apache.commons.cli.Parser,parse,org.apache.commons.cli.Option,clearValues,<SP><EP>
29,65893075773037,org.apache.commons.cli.Option,clearValues,java.util.ArrayList,clear,<SP><EP>
30,65893075786211,org.apache.commons.cli.Parser,parse,java.util.Iterator,hasNext,<SP><EP>
31,65893075796926,org.apache.commons.cli.Parser,parse,java.util.Iterator,next,<SP><EP>
32,65893075818482,org.apache.commons.cli.Parser,parse,org.apache.commons.cli.Option,clearValues,<SP><EP>
33,65893075828678,org.apache.commons.cli.Option,clearValues,java.util.ArrayList,clear,<SP><EP>
34,65893075840737,org.apache.commons.cli.Parser,parse,java.util.Iterator,hasNext,<SP><EP>
35,65893075850896,org.apache.commons.cli.Parser,parse,java.util.Iterator,next,<SP><EP>
36,65893075861145,org.apache.commons.cli.Parser,parse,org.apache.commons.cli.Option,clearValues,<SP><EP>
37,65893075867178,org.apache.commons.cli.Option,clearValues,java.util.ArrayList,clear,<SP><EP>
38,65893075879549,org.apache.commons.cli.Parser,parse,java.util.Iterator,hasNext,<SP><EP>
39,65893075891658,org.apache.commons.cli.Parser,parse,org.apache.commons.cli.Parser,setOptions,<SP>Options:Options@1ac12253<EP>
40,65893075900951,org.apache.commons.cli.Parser,setOptions,org.apache.commons.cli.Options,getRequiredOptions,<SP><EP>
41,65893075925952,org.apache.commons.cli.Parser,parse,org.apache.commons.cli.Parser,getOptions,<SP><EP>
42,65893075941868,org.apache.commons.cli.Parser,parse,org.apache.commons.cli.Parser,flatten,"<SP>Options:Options@1ac12253<NP>String[]:[--copt, foobar, --bfile, toast]<NP>Boolean:true<EP>"
43,65893075954113,org.apache.commons.cli.GnuParser,flatten,java.lang.String,equals,<SP>String:--copt<EP>
44,65893075973814,org.apache.commons.cli.GnuParser,flatten,java.lang.String,equals,<SP>String:--copt<EP>
45,65893075986536,org.apache.commons.cli.GnuParser,flatten,java.lang.String,startsWith,<SP>String:-<EP>
46,65893076000935,org.apache.commons.cli.GnuParser,flatten,org.apache.commons.cli.Options,getOption,<SP>String:--copt<EP>
47,65893076009984,org.apache.commons.cli.Options,getOption,org.apache.commons.cli.Util,stripLeadingHyphens,<SP>String:--copt<EP>
48,65893076021147,org.apache.commons.cli.Util,stripLeadingHyphens,java.lang.String,startsWith,<SP>String:--<EP>
49,65893076035422,org.apache.commons.cli.Util,stripLeadingHyphens,java.lang.String,length,<SP><EP>
50,65893076055006,org.apache.commons.cli.Util,stripLeadingHyphens,java.lang.String,substring,<SP>Integer:2<NP>Integer:6<EP>
51,65893076076907,org.apache.commons.cli.Options,getOption,java.util.Map,containsKey,<SP>String:copt<EP>
52,65893076091429,org.apache.commons.cli.Options,getOption,java.util.Map,get,<SP>String:copt<EP>
53,65893076110539,org.apache.commons.cli.GnuParser,flatten,java.lang.String,substring,<SP>Integer:0<NP>Integer:2<EP>
54,65893076125333,org.apache.commons.cli.GnuParser,flatten,java.lang.String,substring,<SP>Integer:2<EP>
55,65893076138664,org.apache.commons.cli.GnuParser,flatten,java.util.List,add,<SP>String:--copt<EP>
56,65893076177401,org.apache.commons.cli.GnuParser,flatten,java.lang.String,equals,<SP>String:foobar<EP>
